timestamp,source_ip,dest_ip,protocol,packet_size,time_delay,transmission_rate,mac_address,is_attack,attack_type
2026-07-10T10:00:00,198.51.100.22,192.168.1.1,TCP,43992,1664.32,111.39,DE:AD:BE:EF:00:01,1,Spoofing
2026-07-10T10:00:02,192.168.1.102,192.168.1.1,UDP,1009,54.24,4877.09,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:04,203.0.113.45,192.168.1.1,MAVLink,21820,1553.31,184.01,FF:FF:FF:FF:FF:FF,1,Signal Jamming
2026-07-10T10:00:06,203.0.113.45,192.168.1.1,MAVLink,33568,1331.74,23.8,FF:FF:FF:FF:FF:FF,1,Signal Jamming
2026-07-10T10:00:08,203.0.113.45,192.168.1.1,TCP,31401,1548.95,134.09,FF:FF:FF:FF:FF:FF,1,Replay Attack
2026-07-10T10:00:10,198.51.100.22,192.168.1.1,MAVLink,18936,1484.76,21.1,00:00:00:00:00:00,1,DoS
2026-07-10T10:00:12,192.168.1.100,192.168.1.1,UDP,479,67.81,1635.29,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:14,172.16.0.77,192.168.1.1,TCP,17771,232.92,151.98,00:00:00:00:00:00,1,DoS
2026-07-10T10:00:16,192.168.1.100,192.168.1.1,802.11,281,11.36,1776.26,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:18,192.168.1.102,192.168.1.1,MAVLink,444,57.26,4726.6,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:20,192.168.1.100,192.168.1.1,DTLS,678,55.1,2690.46,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:22,10.0.0.99,192.168.1.1,TCP,8820,1368.34,151.04,00:00:00:00:00:00,1,Signal Jamming
2026-07-10T10:00:24,203.0.113.45,192.168.1.1,MAVLink,14826,1591.75,141.84,FF:FF:FF:FF:FF:FF,1,Signal Jamming
2026-07-10T10:00:26,198.51.100.22,192.168.1.1,DTLS,49524,1967.1,50.33,FF:FF:FF:FF:FF:FF,1,Replay Attack
2026-07-10T10:00:28,10.0.0.50,192.168.1.1,DTLS,859,51.27,4730.31,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:30,192.168.1.101,192.168.1.1,DTLS,1398,52.65,4260.78,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:32,192.168.1.102,192.168.1.1,802.11,760,60.33,2379.68,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:34,192.168.1.100,192.168.1.1,UDP,1394,65.29,1751.86,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:36,172.16.0.77,192.168.1.1,802.11,44076,1261.25,72.47,DE:AD:BE:EF:00:01,1,Command Injection
2026-07-10T10:00:38,10.0.0.50,192.168.1.1,UDP,935,54.58,3646.97,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:40,10.0.0.50,192.168.1.1,MAVLink,316,66.47,3379.9,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:00:42,198.51.100.22,192.168.1.1,DTLS,41324,1998.98,32.1,00:00:00:00:00:00,1,Spoofing
2026-07-10T10:00:44,203.0.113.45,192.168.1.1,TCP,65425,1528.6,194.57,00:00:00:00:00:00,1,Signal Jamming
2026-07-10T10:00:46,192.168.1.102,192.168.1.1,UDP,892,20.08,653.47,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:48,203.0.113.45,192.168.1.1,DTLS,63304,646.34,137.53,FF:FF:FF:FF:FF:FF,1,Signal Jamming
2026-07-10T10:00:50,172.16.0.77,192.168.1.1,DTLS,23056,1613.43,121.33,FF:FF:FF:FF:FF:FF,1,Signal Jamming
2026-07-10T10:00:52,192.168.1.102,192.168.1.1,MAVLink,593,72.71,4957.31,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:54,192.168.1.102,192.168.1.1,DTLS,566,30.59,4745.63,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:00:56,10.0.0.50,192.168.1.1,802.11,1330,44.99,4984.04,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:00:58,192.168.1.102,192.168.1.1,TCP,995,39.17,806.48,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:01:00,192.168.1.102,192.168.1.1,UDP,768,68.59,4167.33,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:01:02,192.168.1.101,192.168.1.1,MAVLink,515,47.02,1630.14,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:01:04,203.0.113.45,192.168.1.1,TCP,16763,317.4,158.72,00:00:00:00:00:00,1,Command Injection
2026-07-10T10:01:06,192.168.1.101,192.168.1.1,UDP,147,17.49,4444.08,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:01:08,10.0.0.99,192.168.1.1,DTLS,27932,1061.07,64.89,FF:FF:FF:FF:FF:FF,1,DoS
2026-07-10T10:01:10,192.168.1.100,192.168.1.1,802.11,650,62.81,1799.53,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:01:12,192.168.1.102,192.168.1.1,UDP,403,26.34,1306.49,AA:BB:CC:DD:EE:01,0,normal
2026-07-10T10:01:14,192.168.1.100,192.168.1.1,TCP,678,51.36,948.82,AA:BB:CC:DD:EE:03,0,normal
2026-07-10T10:01:16,10.0.0.50,192.168.1.1,802.11,1400,60.54,926.35,AA:BB:CC:DD:EE:02,0,normal
2026-07-10T10:01:18,203.0.113.45,192.168.1.1,MAVLink,8747,342.38,117.08,FF:FF:FF:FF:FF:FF,1,Replay Attack
